Customer_ID,Gender,Age,Country,Subscription_Plan,Monthly_Charges,Account_Age_Months,Watch_Hours_Per_Month,Favorite_Genre,Devices_Used,Profiles_Created,Downloads_Per_Month,Support_Tickets,Payment_Failures,Last_Login_Days_Ago,Satisfaction_Score,Auto_Renewal,Churn,Age_Category
CUST00001,Male,28 ,Japan,Standard,499,60,72,Documentary,5,3,36,3,0,25,2,Yes,No,Adult
CUST00002,Female,32 ,Canada,Basic,199,36,2,Comedy,1,4,38,6,3,32,10,Yes,Yes,Adult
CUST00003,Male,35 ,Germany,Standard,499,25,29,Documentary,4,4,43,1,4,27,1,No,Yes,Adult
CUST00004,Male,46 ,India,Basic,199,64,50,Documentary,4,5,40,0,1,37,6,Yes,No,Middle Aged
CUST00005,Female,30 ,Germany,Premium,649,26,35,Documentary,5,1,0,4,2,113,8,Yes,No,Adult
CUST00006,Male,68 ,USA,Premium,649,35,41,Action,4,3,1,7,3,44,3,No,Yes,Senior
CUST00007,Female,28 ,USA,Standard,499,53,80,Horror,1,3,9,5,4,36,6,Yes,No,Adult
CUST00008,Female,25 ,South Korea,Basic,199,23,50,Horror,2,5,29,2,1,80,5,Yes,No,Adult
CUST00009,Male,62 ,USA,Standard,499,35,60,Drama,1,3,1,5,2,2,1,No,Yes,Senior
CUST00010,Female,48 ,Australia,Basic,199,49,43,Comedy,2,3,31,0,2,103,4,Yes,Yes,Middle Aged
CUST00011,Female,59 ,India,Premium,649,70,36,Comedy,3,3,42,3,3,21,4,No,Yes,Senior
CUST00012,Female,48 ,South Korea,Premium,649,8,51,Sci-Fi,1,4,2,3,4,118,5,No,Yes,Middle Aged
CUST00013,Female,52 ,South Korea,Premium,649,71,0,Thriller,1,1,0,3,5,74,6,No,Yes,Middle Aged
CUST00014,Female,21 ,Australia,Basic,199,20,43,Comedy,2,4,27,8,0,94,1,No,Yes,Young
CUST00015,Female,43 ,Australia,Basic,199,36,106,Sci-Fi,3,5,15,5,4,57,9,No,Yes,Middle Aged
CUST00016,Male,69 ,India,Standard,499,29,40,Action,2,2,29,1,5,100,8,Yes,Yes,Senior
CUST00017,Male,30 ,Brazil,Basic,199,58,59,Documentary,1,1,21,7,5,61,4,No,Yes,Adult
CUST00018,Female,36 ,Brazil,Basic,199,57,66,Documentary,1,1,38,5,1,43,5,No,No,Adult
CUST00019,Female,27 ,Japan,Standard,499,55,69,Action,5,4,46,6,4,88,2,Yes,Yes,Adult
CUST00020,Male,70 ,Germany,Standard,499,50,29,Romance,1,2,30,3,2,41,6,No,No,Senior
CUST00021,Female,64 ,Brazil,Basic,199,21,58,Romance,5,5,15,6,0,96,5,Yes,No,Senior
CUST00022,Female,41 ,Brazil,Premium,649,27,11,Documentary,3,3,29,7,0,70,7,Yes,Yes,Middle Aged
CUST00023,Male,29 ,USA,Standard,499,3,73,Drama,4,5,31,2,1,99,4,Yes,Yes,Adult
CUST00024,Female,64 ,USA,Standard,499,63,15,Sci-Fi,5,5,23,6,5,51,9,Yes,Yes,Senior
CUST00025,Female,41 ,India,Standard,499,17,38,Documentary,5,3,27,0,2,25,8,No,No,Middle Aged
CUST00026,Male,28 ,Germany,Standard,499,40,47,Action,5,1,16,1,4,115,1,No,Yes,Adult
CUST00027,Female,33 ,South Korea,Standard,499,61,30,Thriller,3,4,19,5,4,101,7,Yes,Yes,Adult
CUST00028,Male,24 ,France,Basic,199,54,70,Comedy,5,3,36,4,2,2,9,No,No,Young
CUST00029,Male,18 ,India,Premium,649,14,33,Drama,2,3,43,0,4,115,6,Yes,Yes,Young
CUST00030,Male,35 ,India,Standard,499,47,44,Sci-Fi,4,5,5,1,2,10,8,No,No,Adult
CUST00031,Male,28 ,Canada,Basic,199,1,52,Romance,1,3,42,1,3,1,8,No,No,Adult
CUST00032,Female,36 ,USA,Premium,649,32,49,Action,2,1,17,5,3,20,2,No,Yes,Adult
CUST00033,Female,43 ,Japan,Basic,199,10,59,Documentary,4,3,17,8,1,87,4,No,Yes,Middle Aged
CUST00034,Male,62 ,Australia,Standard,499,28,71,Romance,4,1,39,3,0,63,8,No,No,Senior
CUST00035,Female,61 ,Australia,Basic,199,29,61,Thriller,4,4,7,0,4,9,6,Yes,No,Senior
CUST00036,Female,62 ,UK,Basic,199,38,66,Romance,3,3,33,3,3,113,10,No,Yes,Senior
CUST00037,Male,59 ,Canada,Basic,199,30,66,Drama,2,5,28,5,1,108,9,No,No,Senior
CUST00038,Male,63 ,UK,Standard,499,25,83,Drama,1,4,44,7,4,75,10,No,Yes,Senior
CUST00039,Male,51 ,Brazil,Premium,649,60,61,Documentary,3,3,13,1,4,116,4,No,Yes,Middle Aged
CUST00040,Female,26 ,UK,Premium,649,15,68,Thriller,2,1,37,5,2,1,3,Yes,No,Adult
CUST00041,Male,39 ,India,Standard,499,72,86,Documentary,5,1,31,8,5,117,3,Yes,Yes,Adult
CUST00042,Male,27 ,Germany,Standard,499,10,13,Horror,1,4,10,8,2,92,3,No,Yes,Adult
CUST00043,Female,29 ,Brazil,Standard,499,57,57,Comedy,4,2,10,4,0,81,2,Yes,Yes,Adult
CUST00044,Female,21 ,UK,Premium,649,22,45,Thriller,1,5,36,4,2,91,4,Yes,Yes,Young
CUST00045,Female,33 ,South Korea,Standard,499,69,54,Horror,4,2,39,8,5,37,6,Yes,No,Adult
CUST00046,Male,55 ,USA,Basic,199,57,43,Documentary,4,3,46,5,1,115,5,Yes,No,Middle Aged
CUST00047,Female,23 ,Canada,Premium,649,8,50,Thriller,5,3,37,6,3,111,3,Yes,Yes,Young
CUST00048,Male,20 ,India,Basic,199,46,51,Horror,3,5,35,2,3,117,10,No,Yes,Young
CUST00049,Male,52 ,Germany,Standard,499,66,30,Drama,2,1,38,8,1,104,10,Yes,No,Middle Aged
CUST00050,Female,67 ,Brazil,Standard,499,32,27,Documentary,2,1,43,7,2,14,4,Yes,No,Senior
CUST00051,Male,53 ,Australia,Premium,649,50,31,Drama,5,2,1,6,1,105,9,No,No,Middle Aged
CUST00052,Male,34 ,Australia,Standard,499,49,78,Comedy,2,2,6,5,2,0,1,Yes,No,Adult
CUST00053,Male,68 ,South Korea,Premium,649,2,76,Horror,1,4,47,7,4,107,5,No,Yes,Senior
CUST00054,Female,24 ,USA,Standard,499,17,29,Comedy,2,5,40,0,2,39,9,Yes,No,Young
CUST00055,Female,47 ,Japan,Basic,199,3,35,Comedy,2,4,44,2,1,118,4,Yes,Yes,Middle Aged
CUST00056,Male,37 ,South Korea,Standard,499,1,8,Action,4,3,43,4,1,45,6,Yes,No,Adult
CUST00057,Male,28 ,UK,Standard,499,27,12,Drama,3,3,47,6,1,112,6,Yes,Yes,Adult
CUST00058,Male,33 ,Brazil,Basic,199,25,44,Thriller,5,1,44,6,0,101,5,No,No,Adult
CUST00059,Female,21 ,Australia,Basic,199,52,76,Romance,3,1,33,0,5,115,8,Yes,Yes,Young
